current_price,num_bids,time_left_sec,max_bid,bid_successful
152.5,100.0,29410.04159999999,1000,0
152.5,71.0,18349.027200000033,1000,0
152.5,75.0,18339.004800000013,1000,0
152.5,78.0,18328.032000000014,1000,0
152.5,80.0,18316.972800000003,1000,0
152.5,100.0,18306.000000000004,1000,0
152.5,150.0,13837.996799999974,1000,0
152.5,152.5,10.972799999998983,1000,0
71.0,1.0,248481.04320000001,1000,0
71.0,2.0,247978.0224,1000,0
71.0,20.0,152727.98400000003,1000,0
71.0,3.5,144786.96,1000,0
71.0,5.0,144761.99039999998,1000,0
71.0,8.0,144739.9584,1000,0
71.0,15.0,144718.01280000003,1000,0
71.0,16.0,144458.0352,1000,0
71.0,17.0,144244.0224,1000,0
71.0,18.0,144199.00799999997,1000,0
71.0,19.0,144087.0336,1000,0
71.0,71.0,83353.96799999998,1000,0
71.0,30.0,38738.99520000003,1000,0
71.0,40.0,37681.027200000026,1000,0
71.0,42.0,17469.99360000002,1000,0
71.0,44.0,8594.985599999969,1000,0
71.0,46.0,8584.963200000027,1000,0
71.0,48.0,8573.039999999972,1000,0
71.0,50.0,8558.956799999998,1000,0
71.0,54.0,8549.020799999991,1000,0
71.0,56.0,8507.03040000003,1000,0
71.0,58.0,8479.03680000003,1000,0
71.0,61.0,1764.0288000000112,1000,0
71.0,65.0,1661.0399999999659,1000,0
71.0,70.0,1635.033600000014,1000,0
501.77,386.87,382109.96160000004,1000,0
501.77,153.0,361925.97119999997,1000,0
501.77,160.0,361881.99360000005,1000,0
501.77,165.0,331096.9824,1000,0
501.77,175.0,331063.0272,1000,0
501.77,180.0,327201.0336,1000,0
501.77,185.0,327158.9568,1000,0
501.77,190.0,327132.0,1000,0
501.77,198.0,327105.9936,1000,0
501.77,203.0,300844.02239999996,1000,0
501.77,210.0,300832.01279999997,1000,0
501.77,216.0,300029.0112,1000,0
501.77,222.0,296339.9904,1000,0
501.77,228.0,296329.01759999996,1000,0
501.77,239.0,296315.9712,1000,0
501.77,245.0,296301.024,1000,0
501.77,250.0,296235.0144,1000,0
501.77,260.0,296219.0304,1000,0
501.77,275.0,296207.9712,1000,0
501.77,285.0,296198.03520000004,1000,0
501.77,300.0,290908.97280000005,1000,0
501.77,350.0,275910.0192,1000,0
501.77,403.87,246017.0016,1000,0
501.77,375.0,210310.0416,1000,0
501.77,400.0,210300.0192,1000,0
501.77,478.79,208347.0336,1000,0
501.77,425.0,45628.96320000003,1000,0
501.77,435.0,12184.0416,1000,0
501.77,445.0,12158.035199999973,1000,0
501.77,455.0,12139.0272,1000,0
501.77,500.0,12122.0064,1000,0
501.77,501.77,36.028799999971284,1000,0
122.5,50.0,431031.9744,1000,0
122.5,1.04,423992.01599999995,1000,0
122.5,10.45,393543.9648,1000,0
122.5,14.87,393464.9952,1000,0
122.5,15.87,393393.02400000003,1000,0
122.5,59.95,380450.9952,1000,0
122.5,110.0,199469.00160000002,1000,0
122.5,75.0,192712.00319999998,1000,0
122.5,77.01,192666.03840000002,1000,0
122.5,79.05,192633.0336,1000,0
122.5,85.0,192595.0176,1000,0
122.5,90.0,99103.99680000001,1000,0
122.5,95.0,96311.9808,1000,0
122.5,122.5,24204.959999999992,1000,0
122.5,115.0,6915.0239999999685,1000,0
122.5,120.0,33.00480000000903,1000,0
147.76,80.0,239275.98719999997,1000,0
147.76,55.55,28567.036800000024,1000,0
147.76,65.65,28531.958400000032,1000,0
147.76,75.0,26162.00639999997,1000,0
147.76,77.0,14900.975999999988,1000,0
147.76,100.0,10934.956799999985,1000,0
147.76,85.0,10084.003199999986,1000,0
147.76,88.0,8819.971200000033,1000,0
147.76,90.0,8805.024000000014,1000,0
147.76,92.0,8793.964800000003,1000,0
147.76,94.0,8784.028799999996,1000,0
147.76,96.0,8774.006399999977,1000,0
147.76,98.0,8763.984000000033,1000,0
147.76,101.0,8753.961600000013,1000,0
147.76,147.76,3440.966399999974,1000,0
147.76,110.0,3187.987199999989,1000,0
147.76,115.0,3159.99359999999,1000,0
147.76,120.0,3130.9631999999992,1000,0
147.76,125.0,3114.028800000011,1000,0
147.76,140.26,167.01120000001595,1000,0
147.76,145.26,144.02880000002654,1000,0
112.5,80.01,70325.97120000003,1000,0
112.5,90.0,10582.963199999975,1000,0
112.5,102.0,10218.009599999994,1000,0
112.5,95.0,6999.004799999966,1000,0
112.5,97.0,6988.031999999967,1000,0
112.5,100.0,6976.972800000032,1000,0
112.5,110.0,6953.990399999967,1000,0
112.5,112.5,832.9824000000201,1000,0
106.0,4.93,431050.03199999995,1000,0
106.0,12.76,430953.0048,1000,0
106.0,59.99,421346.9664,1000,0
106.0,20.0,349714.02239999996,1000,0
106.0,35.0,349698.9888,1000,0
106.0,55.0,245330.0352,1000,0
106.0,60.0,115258.03199999999,1000,0
106.0,65.0,70564.0032,1000,0
106.0,75.0,70377.03360000004,1000,0
106.0,65.0,55205.02079999999,1000,0
106.0,75.0,37235.030399999996,1000,0
106.0,85.0,37225.95840000003,1000,0
106.0,77.0,35545.99680000003,1000,0
106.0,95.0,30947.96160000001,1000,0
106.0,80.0,13033.008000000029,1000,0
106.0,83.0,13012.963199999991,1000,0
106.0,90.0,8476.963199999971,1000,0
106.0,95.5,5279.9904000000315,1000,0
106.0,98.0,2452.982400000005,1000,0
106.0,100.0,978.9984000000175,1000,0
106.0,101.0,266.0255999999663,1000,0
106.0,103.5,228.96000000000356,1000,0
106.0,106.0,200.96640000000434,1000,0
145.0,80.0,89753.0112,1000,0
145.0,85.0,89599.99680000002,1000,0
145.0,65.0,48288.009599999976,1000,0
145.0,70.0,48267.964800000016,1000,0
145.0,74.0,48246.01920000002,1000,0
145.0,90.0,22171.967999999986,1000,0
145.0,115.0,21406.031999999977,1000,0
145.0,92.0,21338.985599999967,1000,0
145.0,100.0,19872.000000000036,1000,0
145.0,120.0,3539.0304000000215,1000,0
145.0,105.0,3097.0080000000107,1000,0
145.0,110.0,3079.0368000000312,1000,0
145.0,115.0,3069.014400000012,1000,0
145.0,120.0,3027.9744000000305,1000,0
145.0,123.0,3018.038400000023,1000,0
145.0,130.0,1740.9600000000096,1000,0
145.0,138.0,1696.9824000000017,1000,0
145.0,128.0,1414.0223999999705,1000,0
145.0,133.0,1405.036800000019,1000,0
145.0,140.0,1374.969600000037,1000,0
145.0,142.5,461.03039999998146,1000,0
145.0,145.0,76.03200000003767,1000,0
122.5,63.0,141934.9824,1000,0
122.5,70.0,34424.00639999998,1000,0
122.5,80.0,34382.9664,1000,0
122.5,65.0,16537.99679999997,1000,0
122.5,70.0,16510.003199999974,1000,0
122.5,75.01,16485.033600000013,1000,0
122.5,80.02,14647.996800000004,1000,0
122.5,85.0,12831.004800000033,1000,0
122.5,120.0,7439.040000000005,1000,0
122.5,102.0,6330.009599999999,1000,0
122.5,110.0,205.02720000003478,1000,0
122.5,115.0,193.01759999996762,1000,0
